,ReviewText,aspects,terms
514,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.","['DISPLAY#QUALITY', 'KEYBOARD#USABILITY']",
515,"Overall, this is a wonderful computer and definitly worth the purchase!",['LAPTOP#GENERAL'],
516,The graphics are stunning.,['GRAPHICS#GENERAL'],
517,It's wonderful for computer gaming.,['LAPTOP#MISCELLANEOUS'],
518,I would definitely suggest this laptop!,['LAPTOP#GENERAL'],
519,It is very user friendly and not hard to figure out at all.,['LAPTOP#USABILITY'],
520,"It has many great programs, such as ILife, iPhotos and others.","['LAPTOP#DESIGN_FEATURES', 'SOFTWARE#GENERAL']",
521,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,['SOFTWARE#USABILITY'],
522,"In addition, all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations.","['SOFTWARE#DESIGN_FEATURES', 'SOFTWARE#USABILITY']",
523,This comes in very handy for me as an educator.,['SOFTWARE#USABILITY'],
524,iPhotos is an excellent program for storing and organizing photos.,['SOFTWARE#MISCELLANEOUS'],
525,It allows you to automatically upload photos to your Facebook account with one click.,['SOFTWARE#USABILITY'],
526,"In addition, there is photo detection software that will allow you to group all the photos together based upon the people in the picture.",['SOFTWARE#DESIGN_FEATURES'],
527,"If you are looking for something reliable, this is the laptop for you.",['LAPTOP#QUALITY'],
528,This computer was awful!,['LAPTOP#GENERAL'],
529,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,"['COMPANY#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE', 'SUPPORT#QUALITY']",
530,The computer first started malfunctioning 3 months after purchasing it.,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#QUALITY']",
531,It does not keep internet signals no matter where you bring it.,['LAPTOP#CONNECTIVITY'],
532,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.","['OS#QUALITY', 'OS#OPERATION_PERFORMANCE']",
533,"When calling Dell for help, reurn, or a new computer they were not useful and left it up to myself to figure out what to do with it.",['SUPPORT#QUALITY'],
534,"One year of trying to fix the computer by myself, with help of friends, and even help from computer experts I have given up on trying to fix it.",['LAPTOP#QUALITY'],
535,"This computer was awful, I would never recomend it to another person.",['LAPTOP#GENERAL'],
536,Those moments in thime where you want to throw something against the wall?,['LAPTOP#GENERAL'],
537,"Yeah, I wanted to throw that lap top out the window and light it on fire.",['LAPTOP#GENERAL'],
538,That's how frustrating it was.,['LAPTOP#GENERAL'],
539,"It is so simple to use, I use it more than my desktop.",['LAPTOP#USABILITY'],
540,"It is well worth the money it cost, Very good investment.","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
541,The new Macbook Pro 15 inch i7 is nothing short of amazing.,['LAPTOP#GENERAL'],
542,The speed is incredible and I am more than satisfied.,['LAPTOP#OPERATION_PERFORMANCE'],
543,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.,"['LAPTOP#QUALITY', 'LAPTOP#GENERAL']",
544,NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.,['COMPANY#GENERAL'],
545,WILL NOT EVERY BUY ANOTHER--------LOU,['LAPTOP#GENERAL'],
546,This is a great value for the money.,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
547,This is a great computer.,['LAPTOP#GENERAL'],
548,We haven't had any problems with it at all.,['LAPTOP#GENERAL'],
549,The body is a bit cheaply made so it will be interesting to see how long it holds up.,['LAPTOP#QUALITY'],
550,"Overall though, for the money spent it's a great deal.","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
551,"But let me tell you, the mac book pro is so professional.",['LAPTOP#GENERAL'],
552,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,"['LAPTOP#GENERAL', 'LAPTOP#DESIGN_FEATURES']",
553,"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",['DISPLAY#DESIGN_FEATURES'],
554,It is VERY easy to type on and feels great - besides the added feature that the keyboard is lighted.,"['KEYBOARD#USABILITY', 'KEYBOARD#QUALITY', 'KEYBOARD#DESIGN_FEATURES']",
555,"Oh, it is such a great piece of equipment.",['LAPTOP#GENERAL'],
556,"Its Office compatible, but the features and its functioning is all new again so you might as well save the money and just learn the pre installed mac programs.","['SOFTWARE#USABILITY', 'SOFTWARE#DESIGN_FEATURES', 'SOFTWARE#OPERATION_PERFORMANCE']",
557,"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
558,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,['BATTERY#OPERATION_PERFORMANCE'],
559,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.","['LAPTOP#USABILITY', 'LAPTOP#OPERATION_PERFORMANCE']",
560,"I play a lot of casual games online, and the touchpad is very responsive.",['MOUSE#OPERATION_PERFORMANCE'],
561,"I wouldn't play a first-person shooter with this, mind, but if you wanted to run MS Office, email, chat, download a video, listen to music from a certain fruit-named music store, and were looking for a highly portable yet powerful netbook to do that all in, I'd highly recommend checking this out.","['LAPTOP#PORTABILITY', 'LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#MISCELLANEOUS']",
562,The downside to this netbook is pretty much the same for any netbook: screen size is not something I'd stare at for the entire 10-11 hours of battery life five days a week.,['DISPLAY#DESIGN_FEATURES'],
563,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,['SOFTWARE#DESIGN_FEATURES'],
564,Everything from the design to the OS is simple and to the point.,"['LAPTOP#DESIGN_FEATURES', 'OS#USABILITY', 'LAPTOP#USABILITY']",
565,LOVE IT LOVE IT LOVE IT!,['LAPTOP#GENERAL'],
566,It really is perfect for work and play.,['LAPTOP#MISCELLANEOUS'],
567,I am able to play 720p and 1080p media files just fine with it.,['LAPTOP#MISCELLANEOUS'],
568,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,"['LAPTOP#OPERATION_PERFORMANCE', 'BATTERY#OPERATION_PERFORMANCE']",
569,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",['MULTIMEDIA_DEVICES#QUALITY'],
570,"I upgraded it's RAM to 2GB, I am very happy with it.","['LAPTOP#GENERAL', 'MEMORY#DESIGN_FEATURES']",
571,lots of preloaded software.,['LAPTOP#DESIGN_FEATURES'],
572,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.","['MEMORY#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']",
573,"tosiba has a good reputation, my llast computer was an acer.",['COMPANY#GENERAL'],
574,this is starting off good.,['LAPTOP#GENERAL'],
575,What a great little laptop.,['LAPTOP#GENERAL'],
576,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']",
577,I bought it to use in college and it is perfect.,['LAPTOP#MISCELLANEOUS'],
578,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,['LAPTOP#OPERATION_PERFORMANCE'],
579,I made a perfect decision when I bought the Toshiba!,"['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
580,Excellent product for the money.,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
581,"No problems, no lock ups, no disappointments.","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
582,"Not super fancy, but not super expensive either.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PRICE']",
583,Highly recommend for daily use.,['LAPTOP#MISCELLANEOUS'],
584,The Computer itself is a good product but the repair depot stinks.,"['LAPTOP#GENERAL', 'SUPPORT#QUALITY']",
585,I have had to send in my laptop three times to get it fixed.,['SUPPORT#QUALITY'],
586,Toshiba does not send any one out unless you have paid extra to have the on site repair done.,['SUPPORT#QUALITY'],
587,I would tell the technician I knew exactly what was wrong with it but they did not listen and I had to go through a bunch of junk to get them to tell me I needed to send the computer in.,['SUPPORT#QUALITY'],
588,This computer that I have has had issues with the keyboard where it lost half the keyboard functions.,"['KEYBOARD#QUALITY', 'KEYBOARD#OPERATION_PERFORMANCE']",
589,As well as having the plug in the computer come loose.,['POWER_SUPPLY#QUALITY'],
590,So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good.,['POWER_SUPPLY#QUALITY'],
591,It still seems to be a little lose now but so far seems to be hanging in there.,['POWER_SUPPLY#QUALITY'],
592,The Mac Book Pro performs flawlessly.,['LAPTOP#OPERATION_PERFORMANCE'],
593,"Never had a single problem, and don't have to worry about viruses.","['LAPTOP#GENERAL', 'LAPTOP#QUALITY']",
594,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",['LAPTOP#MISCELLANEOUS'],
595,Worth the investment and truly a fine piece of equipment.,['LAPTOP#GENERAL'],
596,"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).","['LAPTOP#GENERAL', 'LAPTOP#MISCELLANEOUS']",
597,"It even has a great webcam, and Skype works very well.","['LAPTOP#DESIGN_FEATURES', 'MULTIMEDIA_DEVICES#GENERAL', 'SOFTWARE#OPERATION_PERFORMANCE']",
598,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,['LAPTOP#GENERAL'],
599,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",['OS#GENERAL'],
600,"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.","['OS#GENERAL', 'LAPTOP#PRICE', 'LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
601,"This netbook is a perfect supplementary computer to another laptop or desktop (my wife and I have another laptop), or if you are a user who uses the computer for simple tasks.",['LAPTOP#MISCELLANEOUS'],
602,"I use this for my tutoring business, and since I'm always bouncing from student to student, it is ideal for portability and battery life (yes, it gets the 8 hours as advertised!).","['LAPTOP#PORTABILITY', 'BATTERY#OPERATION_PERFORMANCE']",
603,"ASUS has done an outstanding job of evolving their netbooks, and I would recommend this to anyone who both understands their needs and how netbooks can fit them.","['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
604,little short on RAM but you get what you pay for.,['MEMORY#DESIGN_FEATURES'],
605,"the hinge design forced you to place various connections all around the computer, left right and front.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#USABILITY']",
606,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.","['PORTS#DESIGN_FEATURES', 'MOUSE#USABILITY', 'LAPTOP#DESIGN_FEATURES', 'LAPTOP#USABILITY']",
607,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#USABILITY']",
608,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.","['OS#GENERAL', 'LAPTOP#USABILITY', 'LAPTOP#DESIGN_FEATURES', 'COMPANY#GENERAL']",
609,I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,"['LAPTOP#GENERAL', 'SUPPORT#QUALITY']",
610,The computer was shipped to their repair depot  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,"['SHIPPING#QUALITY', 'SUPPORT#QUALITY']",
611,They were totally unconcerned that the computer was not correctly repaired in the first place.,['SUPPORT#QUALITY'],
612,The computer is currently in West Verginia doe to the method of shipping choosen by Toshiba.,['SHIPPING#QUALITY'],
613,The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,['SHIPPING#QUALITY'],
614,Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,['SHIPPING#QUALITY'],
615,And Toshiba is totally unconcerned.,['SUPPORT#QUALITY'],
616,The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,['SUPPORT#QUALITY'],
617,We don't Mind and You don't Matter.,['SUPPORT#QUALITY'],
618,I would not recommend the purchase of this modle of Toshiba Computer or any Toshiba product for that matter.,"['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
619,When it come time for warranty service to Toshiba you don't matter.,['SUPPORT#QUALITY'],
620,Windows Vista makes this computer almost unusable for online service.,"['OS#GENERAL', 'LAPTOP#USABILITY']",
621,I've tried going back to XL but there still problems.,['LAPTOP#USABILITY'],
622,The technical service for dell is so 3rd world it might as well not even bother.,['SUPPORT#QUALITY'],
623,Just a bunch of idiots who's English as a 5th language is forced at best.,['SUPPORT#QUALITY'],
624,I'm all for saving money but Dell needs to step it up.,['COMPANY#GENERAL'],
625,Good price.,['LAPTOP#PRICE'],
626,Basic computer.,['LAPTOP#MISCELLANEOUS'],
627,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,['LAPTOP#MISCELLANEOUS'],
628,It has worked fine.,['LAPTOP#OPERATION_PERFORMANCE'],
629,Handles all my basic media needs easily.,['LAPTOP#MISCELLANEOUS'],
630,Can listen to my music and watch my videos with ease and with a great display.,"['DISPLAY#GENERAL', 'LAPTOP#USABILITY']",
631,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#CONNECTIVITY']",
632,It's a great prodcut to handle basic computing needs.,['LAPTOP#MISCELLANEOUS'],
633,It has served my needs quite nicely for the most part.,['LAPTOP#GENERAL'],
634,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.","['MEMORY#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']",
635,My one complaint with this laptop is that I've noticed an electronic fuzz sound coming out of the headphone jack when headphones are plugged in.,['PORTS#QUALITY'],
636,"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.","['HARDWARE#QUALITY', 'LAPTOP#PRICE']",
637,"Other than that, I would recommend this to someone in need of a cheap laptop with semi-decent gaming capabilities.","['LAPTOP#PRICE', 'LAPTOP#MISCELLANEOUS']",
638,Let me start with the good:So awesome.,['LAPTOP#GENERAL'],
639,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","['OS#GENERAL', 'CPU#OPERATION_PERFORMANCE', 'LAPTOP#DESIGN_FEATURES']",
640,This one has had the same effect.,['LAPTOP#GENERAL'],
641,"The improvements to the OS have been relatively gradual, but substantive.",['OS#GENERAL'],
642,"The Unibody construction is solid, sleek and beautiful.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",
643,"It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",
644,"For the not so good, I got the stock screen - which is VERY glossy.",['DISPLAY#QUALITY'],
645,It's still beautiful and has better color reproduction than I could ever expect from a notebook.,"['DISPLAY#DESIGN_FEATURES', 'DISPLAY#QUALITY']",
646,The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,"['DISPLAY#QUALITY', 'DISPLAY#USABILITY']",
647,The statement of 7 hour battery life is not just mere exaggeration -- it's a lie.,['BATTERY#OPERATION_PERFORMANCE'],
648,I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it.,['BATTERY#OPERATION_PERFORMANCE'],
649,The first full charge of this battery got me only about 2 full hours.,['BATTERY#OPERATION_PERFORMANCE'],
650,Enabling the battery timer is useless.,['BATTERY#OPERATION_PERFORMANCE'],
651,"The ""Time remaining"" goes from 4 hours plus to less than 2 hours over the span of about 10 minutes.",['BATTERY#OPERATION_PERFORMANCE'],
652,It's so bad that I'm thinking I only got half a battery or something.,['BATTERY#OPERATION_PERFORMANCE'],
653,I know what 7 hrs of battery looks like.,['BATTERY#OPERATION_PERFORMANCE'],
654,My only other complaint is that it gets really hot.:-),['LAPTOP#QUALITY'],
655,"If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.","['BATTERY#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
656,"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).","['LAPTOP#GENERAL', 'CPU#MISCELLANEOUS', 'LAPTOP#DESIGN_FEATURES', 'LAPTOP#USABILITY']",
657,Other than that its a great performing machine and well meets all my needs and more.,"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
658,Great product by Apple with the new great looking design.,"['LAPTOP#GENERAL', 'LAPTOP#DESIGN_FEATURES', 'COMPANY#GENERAL']",
659,"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.","['HARD_DISC#QUALITY', 'MOTHERBOARD#QUALITY', 'OPTICAL_DRIVES#QUALITY', 'SUPPORT#QUALITY', 'LAPTOP#QUALITY']",
660,"It was slow, locked up, and also had hardware replaced after only 2 months!","['LAPTOP#OPERATION_PERFORMANCE', 'HARDWARE#QUALITY']",
661,"So, buyers beware!",['LAPTOP#GENERAL'],
662,"It is made better, thicker, and all out tough!","['LAPTOP#QUALITY', 'LAPTOP#DESIGN_FEATURES']",
663,I droped this once from thetable when my baby girl grabed me one day and IT is still working with NO issues!,['LAPTOP#QUALITY'],
664,"I love the easy to see screen, and It works well for work, persoal or just play.","['DISPLAY#USABILITY', 'LAPTOP#MISCELLANEOUS']",
665,I tell everyone I see out looking to get this or another Toshiba.,"['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
666,My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,['COMPANY#GENERAL'],
667,"I just love this lap top, I just wish it were all silver or they had all black.","['LAPTOP#GENERAL', 'LAPTOP#DESIGN_FEATURES']",
668,That is my only complaint!,['LAPTOP#DESIGN_FEATURES'],
669,LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
670,WOULD PAY MORE FOR IT IF I HAD TOO!,"['LAPTOP#GENERAL', 'LAPTOP#PRICE']",
671,I recently purchased the mini and absolutely love it!,['LAPTOP#GENERAL'],
672,It meets all my needs for work and pleasure while traveling.,"['LAPTOP#MISCELLANEOUS', 'LAPTOP#PORTABILITY']",
673,I am totally satisfied with my little toshie!,['LAPTOP#GENERAL'],
674,From the moment I opened the box to the present it has been a great joy.,['LAPTOP#GENERAL'],
675,"It is always reliable, never bugged and responds well.","['LAPTOP#QUALITY', 'LAPTOP#OPERATION_PERFORMANCE']",
676,I love the operating system and the preloaded software.,"['OS#GENERAL', 'SOFTWARE#GENERAL']",
677,This machine delivers.,['LAPTOP#OPERATION_PERFORMANCE'],
678,It is also extremely pleasing to the eyes without looking too much like an Alienware gaming machine.,['LAPTOP#DESIGN_FEATURES'],
679,It is a bit heavy.,['LAPTOP#DESIGN_FEATURES'],
680,It would be a load on long trips where a lot of walking is required.,['LAPTOP#PORTABILITY'],
681,Had some trouble finding a case that it would fit in.,['LAPTOP#DESIGN_FEATURES'],
682,"This is an over-sized, 18-inch laptop.",['LAPTOP#DESIGN_FEATURES'],
683,It wouldn't fit in most 17-inch bags.,['LAPTOP#DESIGN_FEATURES'],
684,I was disappointed when I realized that the keyboard doesn't light up on this model.,['KEYBOARD#DESIGN_FEATURES'],
685,It also does not have bluetooth.,['LAPTOP#DESIGN_FEATURES'],
686,You'll need to upgrade and pay a little more for them.,['LAPTOP#DESIGN_FEATURES'],
687,"I was looking too closely at the other performance specs and while comparing, I took it for granted that these features were standard.",['LAPTOP#DESIGN_FEATURES'],
688,"Overall, still a very nice machine.",['LAPTOP#GENERAL'],
689,Boots up fast and runs great!,['LAPTOP#OPERATION_PERFORMANCE'],
690,I'm pleased.,['LAPTOP#GENERAL'],
691,The acer one compuer is a great computer.,['LAPTOP#GENERAL'],
692,I didn't want to buy a generic brand computer but it is really nice.,"['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
693,"Its fast, has High definition quality in the videos.","['LAPTOP#OPERATION_PERFORMANCE', 'DISPLAY#QUALITY']",
694,The pictures are clear as can be.,['DISPLAY#QUALITY'],
695,"If I had to buy another computer, I would most definetly buy an acer one computer.","['LAPTOP#GENERAL', 'COMPANY#GENERAL']",
696,"Heck, if I had enough ' money, I would but it as a gift for someone.",['LAPTOP#GENERAL'],
697,Im glad that it has such great features in it.,['LAPTOP#DESIGN_FEATURES'],
698,It also came with a built it web cam which is great because I can see an communicate with my family members back home.,['LAPTOP#DESIGN_FEATURES'],
699,Clear picture on it and everything.,['MULTIMEDIA_DEVICES#QUALITY'],
700,"The one down side to it is that when I play a certin game on here, it tends to freeze up sometimes, but thats the only bad thing about this computer.","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#GENERAL']",
701,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.","['DISPLAY#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",
702,Its good for playing my apps on Facebook or watching movies.,['LAPTOP#MISCELLANEOUS'],
703,Im very happy with this computer!,['LAPTOP#GENERAL'],
704,It's solid.,['LAPTOP#QUALITY'],
705,Love the stability of the Mac software and operating system.,"['SOFTWARE#OPERATION_PERFORMANCE', 'OS#OPERATION_PERFORMANCE']",
706,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,"['SOFTWARE#USABILITY', 'SOFTWARE#GENERAL', 'SOFTWARE#PRICE']",
707,It seems to be incompatible with everything else.,['SOFTWARE#USABILITY'],
708,But the machine is awesome and iLife is great and I love Snow Leopard X.,"['LAPTOP#GENERAL', 'SOFTWARE#GENERAL', 'OS#GENERAL']",
709,i love to use it it is esay and light.,"['LAPTOP#GENERAL', 'LAPTOP#USABILITY', 'LAPTOP#DESIGN_FEATURES']",
710,this laptop is durable and it is easy to travel with.,"['LAPTOP#QUALITY', 'LAPTOP#PORTABILITY']",
711,i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,['LAPTOP#PORTABILITY'],
712,this laptop is great for work and doing my pictures.,['LAPTOP#MISCELLANEOUS'],
713,"i am a huge computer person i love anykind of computer that works well, but when i got this one i was so happy with the way it works and how it runs its amazing.",['LAPTOP#OPERATION_PERFORMANCE'],
714,the programs are esay to use and are quick to process this computer works like a charm.,"['SOFTWARE#USABILITY', 'SOFTWARE#OPERATION_PERFORMANCE', 'LAPTOP#OPERATION_PERFORMANCE']",
715,i can use it for all of my needs.,['LAPTOP#GENERAL'],
716,i give this laptop a five star review i love it and it has done chams for me.,['LAPTOP#GENERAL'],
717,if this computer every breaks down on me i will most definatly get the same one again.,['LAPTOP#GENERAL'],
718,i think that anyone looking for a good durrable laptop then this is the way to go.,"['LAPTOP#QUALITY', 'LAPTOP#GENERAL']",
719,From the second you open the box you will fall in love with this computer!,['LAPTOP#GENERAL'],
720,The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,"['OS#OPERATION_PERFORMANCE', 'OS#QUALITY']",
721,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!","['MOUSE#DESIGN_FEATURES', 'MOUSE#USABILITY', 'COMPANY#GENERAL']",
722,"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",['OS#USABILITY'],
723,Apple continues to shine and provide a much more enjoyable computer experience!,"['COMPANY#GENERAL', 'LAPTOP#GENERAL']",
724,"From the start, when you open the box you see a completely different class of machine.",['LAPTOP#GENERAL'],
725,The ease in which you set everything up is such that a child could do it.,['LAPTOP#USABILITY'],
726,"The screen is bright and clear, the operating system is solid and friendly to a novice.","['DISPLAY#QUALITY', 'OS#QUALITY', 'OS#USABILITY']",
727,"Fast, fast and fast, the web pages just fly by.",['LAPTOP#OPERATION_PERFORMANCE'],
728,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.","['LAPTOP#USABILITY', 'LAPTOP#CONNECTIVITY', 'LAPTOP#OPERATION_PERFORMANCE']",
729,That includes transferring my music and movies.,['LAPTOP#USABILITY'],
730,Good bye BLUE SCREEN and Critical errors!!!!,['LAPTOP#OPERATION_PERFORMANCE'],
731,Skype is just so dang cool with this machine too.,['SOFTWARE#GENERAL'],
732,"If your time is worth anything to you, if you are tired of rebooting, reformatting, reinstalling, trying to find drivers, if you want a computer to work for you for a change, make the change to this computer.","['LAPTOP#USABILITY', 'LAPTOP#OPERATION_PERFORMANCE']",
733,It is light and the battery last a very long time.,"['LAPTOP#DESIGN_FEATURES', 'BATTERY#OPERATION_PERFORMANCE']",
734,Very fast boot up and shut down.,['LAPTOP#OPERATION_PERFORMANCE'],
735,"Let me tell you, this machine is great.",['LAPTOP#GENERAL'],
736,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",['LAPTOP#MISCELLANEOUS'],
737,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",['OS#USABILITY'],
738,The most amazing part to me as a PC user is the startup and shutdown times - and the fact that you very rarely have to restart the thing.,['LAPTOP#OPERATION_PERFORMANCE'],
739,The only time I have restarted is during system updates.,['LAPTOP#OPERATION_PERFORMANCE'],
740,great machine if you want to drop the cash for one.,['LAPTOP#GENERAL'],
741,"Ok, this is probably the best laptop series ever devised by Apple.",['LAPTOP#GENERAL'],
742,The case is carved out of a single block of aluminum.,['LAPTOP#QUALITY'],
743,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.","['CPU#OPERATION_PERFORMANCE', 'OS#OPERATION_PERFORMANCE', 'GRAPHICS#DESIGN_FEATURES']",
744,I have recommended this laptop to everyone I know who is buying one.,['LAPTOP#GENERAL'],
745,"I like it so much, I bought another just for my wife.",['LAPTOP#GENERAL'],
746,Took it back as it was defective.,['LAPTOP#QUALITY'],
747,Page just disapeared after you got yahoo or downloaded something.,['LAPTOP#OPERATION_PERFORMANCE'],
748,Couldn't keep a page up you were working on!,['LAPTOP#OPERATION_PERFORMANCE'],
749,was a great deal i will give that.,['LAPTOP#PRICE'],
750,the laptop preformed pretty well.,['LAPTOP#OPERATION_PERFORMANCE'],
751,it cant fuction well with lots of webpages open at once.,['LAPTOP#OPERATION_PERFORMANCE'],
752,it has times were it freezes for 10 seconds and then starts again.,['LAPTOP#OPERATION_PERFORMANCE'],
753,"the mouse on the pad, the left button always sticks.",['MOUSE#OPERATION_PERFORMANCE'],
754,the mouse is way way way to sensitve.,['MOUSE#OPERATION_PERFORMANCE'],
755,i tried turning it done but it did nothing.,['MOUSE#OPERATION_PERFORMANCE'],
756,the mouse jumps around all the time and it clicks stuff i dont want it too.,"['MOUSE#OPERATION_PERFORMANCE', 'MOUSE#USABILITY']",
757,its not bad just VERY VERY annoying.,['MOUSE#GENERAL'],
758,think i would spend little extra to get a better made laptop.,['LAPTOP#QUALITY'],
759,I am very happy with this laptop.,['LAPTOP#GENERAL'],
760,For the price and what I get out of it has exceeded my expectations.,"['LAPTOP#PRICE', 'LAPTOP#GENERAL']",
761,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,['LAPTOP#OPERATION_PERFORMANCE'],
762,Amazing Quality!,['LAPTOP#QUALITY'],
763,Plus stylish.,['LAPTOP#DESIGN_FEATURES'],
764,"The big screen allows you to enjoy watching movies , pictures and etc!",['DISPLAY#DESIGN_FEATURES'],
